market,report,contract_name,report_date,category,long,short,open_interest
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-16,asset_manager,152284,157457,673349
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-16,dealer,173882,176260,673349
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-16,leveraged_funds,145021,137785,673349
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-16,nonreportable,80117,81486,673349
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-16,other_rept,122045,120361,673349
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-23,asset_manager,158229,157388,686124
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-23,dealer,178387,178397,686124
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-23,leveraged_funds,143583,144589,686124
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-23,nonreportable,82706,81964,686124
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-23,other_rept,123219,123786,686124
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-30,asset_manager,157185,158454,686173
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-30,dealer,175260,181550,686173
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-30,leveraged_funds,150688,137505,686173
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-30,nonreportable,82894,81788,686173
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-08-30,other_rept,120146,126876,686173
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-06,asset_manager,156238,157843,682784
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-06,dealer,175670,179378,682784
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-06,leveraged_funds,147891,138879,682784
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-06,nonreportable,79497,84370,682784
6e,tff,EURO FX - CHICAGO MERCANTILE EXCHANGE,2016-09-06,other_rept,123488,122314,682784
