series,reference_period,vintage_date,value
cpi,2014-09-01,2014-10-14,240.38791066655443
cpi,2014-09-01,2014-11-14,240.54810572836183
cpi,2014-09-01,2015-01-14,240.58577510527525
cpi,2014-10-01,2014-11-14,241.18593917096604
cpi,2014-10-01,2014-12-15,241.20348389598402
cpi,2014-10-01,2015-02-16,241.55776711791574
cpi,2014-11-01,2014-12-15,242.40780215575876
cpi,2014-11-01,2015-01-15,242.32588110899357
cpi,2014-11-01,2015-03-16,242.4163761756964
cpi,2014-12-01,2015-01-14,242.7968385779458
cpi,2014-12-01,2015-02-16,243.0361225111773
cpi,2014-12-01,2015-04-14,243.0112143570526
cpi,2015-01-01,2015-02-16,243.77931663564905
cpi,2015-01-01,2015-03-16,243.74001218037995
cpi,2015-01-01,2015-05-18,243.76469079569966
cpi,2015-02-01,2015-03-16,243.4635322878031
cpi,2015-02-01,2015-04-16,243.40385573661925
cpi,2015-02-01,2015-06-16,243.4426625675511
cpi,2015-03-01,2015-04-14,243.24715073883962
cpi,2015-03-01,2015-05-14,243.17424772385144
cpi,2015-03-01,2015-07-14,243.17660637057224
cpi,2015-04-01,2015-05-14,244.2304008642931
cpi,2015-04-01,2015-06-15,244.1643950955715
cpi,2015-04-01,2015-08-14,244.19939435635374
cpi,2015-05-01,2015-06-15,244.58915652144847
cpi,2015-05-01,2015-07-15,244.55369346486955
cpi,2015-05-01,2015-09-15,244.58972541675
cpi,2015-06-01,2015-07-14,245.41050041820247
cpi,2015-06-01,2015-08-14,245.2403030686786
cpi,2015-06-01,2015-10-14,244.9525751359328
cpi,2015-07-01,2015-08-14,244.85298603472185
cpi,2015-07-01,2015-09-14,244.8533275145739
cpi,2015-07-01,2015-11-16,244.9455440079236
cpi,2015-08-01,2015-09-14,245.7390131043712
cpi,2015-08-01,2015-10-14,245.68129441102604
cpi,2015-08-01,2015-12-14,245.5388379732423
cpi,2015-09-01,2015-10-14,246.26142175683265
cpi,2015-09-01,2015-11-16,246.15809324334646
cpi,2015-09-01,2016-01-14,246.42402872069408
cpi,2015-10-01,2015-11-16,247.32904101473187
cpi,2015-10-01,2015-12-16,247.27842663052974
cpi,2015-10-01,2016-02-16,247.32881506881762
cpi,2015-11-01,2015-12-14,247.9022908672966
cpi,2015-11-01,2016-01-14,248.07664370964784
cpi,2015-11-01,2016-03-14,248.00534403594014
cpi,2015-12-01,2016-01-14,248.61372858917233
cpi,2015-12-01,2016-02-15,248.68522020635146
cpi,2015-12-01,2016-04-14,248.67280612864602
cpi,2016-01-01,2016-02-15,249.21301949794787
cpi,2016-01-01,2016-03-15,249.09765181666413
cpi,2016-01-01,2016-05-16,249.26762204119197
cpi,2016-02-01,2016-03-14,250.6752685095741
cpi,2016-02-01,2016-04-14,250.5234464640188
cpi,2016-02-01,2016-06-14,250.60211664144174
cpi,2016-03-01,2016-04-14,250.08045411198688
cpi,2016-03-01,2016-05-16,250.49005788250676
cpi,2016-03-01,2016-07-14,250.3988843466701
cpi,2016-04-01,2016-05-16,250.90557006934202
cpi,2016-04-01,2016-06-16,250.95939865963524
cpi,2016-04-01,2016-08-16,251.05628327130484
cpi,2016-05-01,2016-06-14,251.41850637902022
cpi,2016-05-01,2016-07-14,251.36251572622868
cpi,2016-05-01,2016-09-14,251.39251395446541
cpi,2016-06-01,2016-07-14,252.44759387424713
cpi,2016-06-01,2016-08-15,252.49380809000093
cpi,2016-06-01,2016-10-14,252.4368982394614
cpi,2016-07-01,2016-08-15,253.3549884415357
cpi,2016-07-01,2016-09-15,253.09222782300566
cpi,2016-07-01,2016-11-15,252.99330872749107
cpi,2016-08-01,2016-09-14,253.13429333442505
cpi,2016-08-01,2016-10-14,253.2517970565349
cpi,2016-08-01,2016-12-14,253.29812082833624
cpi,2016-09-01,2016-10-14,253.77188120912456
cpi,2016-09-01,2016-11-14,253.87284741872415
cpi,2016-09-01,2017-01-16,253.93094403486023
cpi,2016-10-01,2016-11-14,254.44554853650442
cpi,2016-10-01,2016-12-14,254.44560158340113
cpi,2016-10-01,2017-02-14,254.53817095865486
cpi,2016-11-01,2016-12-14,256.3948596789162
cpi,2016-11-01,2017-01-16,256.5290877495693
cpi,2016-11-01,2017-03-14,256.44788125624433
cpi,2016-12-01,2017-01-16,257.5953747882442
cpi,2016-12-01,2017-02-16,257.765676727559
cpi,2016-12-01,2017-04-17,257.8663697291607
cpi,2017-01-01,2017-02-14,258.9633936698262
cpi,2017-01-01,2017-03-14,259.0201644630444
cpi,2017-01-01,2017-05-15,258.9642294258349
cpi,2017-02-01,2017-03-14,259.68325906156474
cpi,2017-02-01,2017-04-14,259.5906048486134
cpi,2017-02-01,2017-06-14,259.46211833242705
cpi,2017-03-01,2017-04-14,259.6876768793407
cpi,2017-03-01,2017-05-15,259.73446285010874
cpi,2017-03-01,2017-07-14,259.7728303882574
cpi,2017-04-01,2017-05-15,259.89455094366036
cpi,2017-04-01,2017-06-15,259.9873195574485
cpi,2017-04-01,2017-08-15,260.2476854213294
cpi,2017-05-01,2017-06-14,260.49836047613684
cpi,2017-05-01,2017-07-14,260.54371282968333
cpi,2017-05-01,2017-09-14,260.43762828812345
cpi,2017-06-01,2017-07-14,260.63851121940627
cpi,2017-06-01,2017-08-14,260.6870990275821
cpi,2017-06-01,2017-10-16,260.5028481720952
cpi,2017-07-01,2017-08-14,261.51685109618484
cpi,2017-07-01,2017-09-14,261.5095885236458
cpi,2017-07-01,2017-11-14,261.6511475938145
cpi,2017-08-01,2017-09-14,261.8259970427455
cpi,2017-08-01,2017-10-16,261.952661977009
cpi,2017-08-01,2017-12-14,261.99486361270067
cpi,2017-09-01,2017-10-16,263.6834904120481
cpi,2017-09-01,2017-11-16,263.5917891893181
cpi,2017-09-01,2018-01-16,263.5336749425628
cpi,2017-10-01,2017-11-14,264.459375013323
cpi,2017-10-01,2017-12-14,264.4809681267427
cpi,2017-10-01,2018-02-14,264.45976619514687
cpi,2017-11-01,2017-12-14,264.89526377687645
cpi,2017-11-01,2018-01-15,264.8411462065891
cpi,2017-11-01,2018-03-14,264.75892334528174
cpi,2017-12-01,2018-01-15,266.1308681175135
cpi,2017-12-01,2018-02-15,265.97893039209947
cpi,2017-12-01,2018-04-16,265.77285802402247
cpi,2018-01-01,2018-02-14,266.96006851974425
cpi,2018-01-01,2018-03-14,266.9668437703332
cpi,2018-01-01,2018-05-14,266.88322378095
cpi,2018-02-01,2018-03-14,267.9762058804605
cpi,2018-02-01,2018-04-16,267.88506549365695
cpi,2018-02-01,2018-06-14,268.1050860110428
cpi,2018-03-01,2018-04-16,268.7668219275365
cpi,2018-03-01,2018-05-16,268.82597694735665
cpi,2018-03-01,2018-07-16,268.91913621090345
cpi,2018-04-01,2018-05-14,269.1640684678977
cpi,2018-04-01,2018-06-14,269.50770139408615
cpi,2018-04-01,2018-08-14,269.4274446773668
cpi,2018-05-01,2018-06-14,269.6758684259412
cpi,2018-05-01,2018-07-16,269.6361675857699
cpi,2018-05-01,2018-09-14,269.4847080973368
cpi,2018-06-01,2018-07-16,269.95089338782776
cpi,2018-06-01,2018-08-16,270.1195788234193
cpi,2018-06-01,2018-10-16,270.14506662929267
cpi,2018-07-01,2018-08-14,271.26599224691836
cpi,2018-07-01,2018-09-14,271.3283977221555
cpi,2018-07-01,2018-11-14,271.3765805344293
cpi,2018-08-01,2018-09-14,271.1771357211036
cpi,2018-08-01,2018-10-15,271.2377018289989
cpi,2018-08-01,2018-12-14,271.11332165224616
cpi,2018-09-01,2018-10-15,271.97984247910546
cpi,2018-09-01,2018-11-15,272.1390372829137
cpi,2018-09-01,2019-01-15,272.03548511008177
cpi,2018-10-01,2018-11-14,272.903334995068
cpi,2018-10-01,2018-12-14,273.04455022649836
cpi,2018-10-01,2019-02-14,273.0512507196403
cpi,2018-11-01,2018-12-14,273.4767206922287
cpi,2018-11-01,2019-01-14,273.7047330131465
cpi,2018-11-01,2019-03-14,273.6508111744841
cpi,2018-12-01,2019-01-14,274.1283752682566
cpi,2018-12-01,2019-02-14,274.0923352860312
cpi,2018-12-01,2019-04-15,273.8883311678127
cpi,2019-01-01,2019-02-14,273.87953104666576
cpi,2019-01-01,2019-03-14,273.80491082796607
cpi,2019-01-01,2019-05-14,273.9675667493466
cpi,2019-02-01,2019-03-14,274.890042468175
cpi,2019-02-01,2019-04-15,274.83720898914333
cpi,2019-02-01,2019-06-14,274.6981508510103
cpi,2019-03-01,2019-04-15,275.09111930637243
cpi,2019-03-01,2019-05-15,275.01206163350554
cpi,2019-03-01,2019-07-15,274.90310836764564
cpi,2019-04-01,2019-05-14,274.71821380584095
cpi,2019-04-01,2019-06-14,274.8811607833249
cpi,2019-04-01,2019-08-14,274.77329913804095
cpi,2019-05-01,2019-06-14,275.95998691978116
cpi,2019-05-01,2019-07-15,275.96576462136284
cpi,2019-05-01,2019-09-16,275.8581252111221
cpi,2019-06-01,2019-07-15,276.18879973454057
cpi,2019-06-01,2019-08-15,276.24799078050825
cpi,2019-06-01,2019-10-15,276.3759380635412
cpi,2019-07-01,2019-08-14,277.56399055076207
cpi,2019-07-01,2019-09-16,277.325602106112
cpi,2019-07-01,2019-11-14,277.1824147809863
cpi,2019-08-01,2019-09-16,277.10157098656407
cpi,2019-08-01,2019-10-16,277.0830552338503
cpi,2019-08-01,2019-12-16,277.0448421852729
cpi,2019-09-01,2019-10-14,277.6784092787382
cpi,2019-09-01,2019-11-14,277.755955387975
cpi,2019-09-01,2020-01-14,277.72322267311614
cpi,2019-10-01,2019-11-14,278.29190204335345
cpi,2019-10-01,2019-12-16,278.1232894391125
cpi,2019-10-01,2020-02-14,278.18341699609874
cpi,2019-11-01,2019-12-16,280.41648109212787
cpi,2019-11-01,2020-01-16,280.0821897782938
cpi,2019-11-01,2020-03-16,279.982191690449
cpi,2019-12-01,2020-01-14,280.4304807751403
cpi,2019-12-01,2020-02-14,280.40579088083484
cpi,2019-12-01,2020-04-14,280.300140163201
cpi,2020-01-01,2020-02-14,281.4829128734411
cpi,2020-01-01,2020-03-16,281.63147685229046
cpi,2020-01-01,2020-05-14,281.5546995498921
cpi,2020-02-01,2020-03-16,282.04739382400805
cpi,2020-02-01,2020-04-16,282.11438455792495
cpi,2020-02-01,2020-06-16,282.1410912971116
cpi,2020-03-01,2020-04-14,283.53689146043695
cpi,2020-03-01,2020-05-14,283.5258674690924
cpi,2020-03-01,2020-07-14,283.5277851202316
cpi,2020-04-01,2020-05-14,284.19748024880505
cpi,2020-04-01,2020-06-15,284.27894155101615
cpi,2020-04-01,2020-08-14,283.97620684870367
cpi,2020-05-01,2020-06-15,284.95551465201305
cpi,2020-05-01,2020-07-15,284.97336567137086
cpi,2020-05-01,2020-09-15,284.8876200849089
cpi,2020-06-01,2020-07-14,284.96611013741165
cpi,2020-06-01,2020-08-14,285.1559963901672
cpi,2020-06-01,2020-10-14,285.1583456394814
cpi,2020-07-01,2020-08-14,286.13239150101424
cpi,2020-07-01,2020-09-14,286.2465895446652
cpi,2020-07-01,2020-11-16,286.4572942783002
cpi,2020-08-01,2020-09-14,285.7942072974288
cpi,2020-08-01,2020-10-14,285.89871494610264
cpi,2020-08-01,2020-12-14,285.98797279936844
