signal,train,validation,test,full,positive_in_all_splits,splits_positive
h1_equity_forecast,0.42241080550280685,-0.40772187274725347,0.8407470434417703,0.3091461086618822,False,2
h2_rv_breakeven_wti_hedged,-0.00866552436195571,-0.141187624521561,0.7994776227534033,0.11787739639911318,False,1
h2_rv_gold_real10_hedged,-0.7602523183260698,-0.22634777976404125,1.7958746929237837,-0.325032268004781,False,1
h2_rv_gold_real10_single,-0.16868422873223532,-0.20122545647423837,0.5162341392722762,-0.09645696829922883,False,1
h2_rv_spx_vix_hedged,-1.012174202765348,0.42270808421806066,0.44511599564504317,-0.2932255228714791,False,2
h2_rv_spx_vix_single,-0.35787468152246976,0.6497889449231126,0.1002991819346766,-0.07246478345559228,False,2
h2_rv_wti_usd_hedged,-0.7415501942422732,0.11329996191336374,0.3200370994185446,-0.38756513438985857,False,2
h2_rv_wti_usd_single,-0.4779080586665718,0.1337177135931492,0.18177708640304754,-0.2701607903826156,False,2
h3_positioning_6e,-0.6327636154475867,-0.09258859191963371,0.44058017971505226,-0.29641995762766954,False,1
h3_positioning_cl,-0.8005602912168962,-0.4866125699998193,0.7905450423393837,-0.5144699833984709,False,1
h3_positioning_es,-0.2529991111586514,-0.6020959514570183,-0.36919844520745254,-0.32689418074356164,False,0
h3_positioning_gc,-0.4165758307842574,-0.9306749556236152,-0.18754970808167837,-0.4970135709489551,False,0
h3_positioning_zn,-0.7158126919062766,1.021165068127614,0.2783164795173373,-0.21401431685418595,False,2
