spec,term,coefficient,std_error_hac,t_stat,p_value,nobs,sample
naive,const,0.0005876001823698025,0.00017401122773000617,3.376794647305841,0.0007333577890324702,2511,full
naive,dy_1d_dgs2,-0.0003908509146368205,4.331953849930333e-05,-9.022508738016823,1.8383033697600377e-19,2511,full
naive,dy_1d_dgs10,-4.9672052595350114e-05,3.210083127052375e-05,-1.5473758974260878,0.1217726297488161,2511,full
naive,d_1d_curve_2s10s,0.0003411788620416926,4.093030796791975e-05,8.33560456738075,7.710320028233333e-17,2511,full
naive,ret_1d_vix,-0.07796285192405615,0.005031237413605204,-15.495760886423916,3.705478259018294e-54,2511,full
slope,const,0.0005876001823698021,0.00017401122773000606,3.3767946473058403,0.0007333577890324716,2511,full
slope,dy_1d_level,-0.00044052296723217087,6.433351737433072e-05,-6.847487673788235,7.515816569489954e-12,2511,full
slope,dy_1d_slope,0.000511768293062428,6.139546195188242e-05,8.335604567378564,7.710320028375829e-17,2511,full
slope,ret_1d_vix,-0.07796285192405612,0.005031237413605203,-15.495760886423914,3.7054782590183993e-54,2511,full
real,const,0.0005617934671328334,0.0001651137354814743,3.4024635533478462,0.0006678126180452627,2511,full
real,dy_1d_real10,-0.0005555579274251872,6.356062765769168e-05,-8.740598510404379,2.3187868553620523e-18,2511,full
real,dy_1d_breakeven10,0.0002696817260224092,0.00010091265033001988,2.6724273432563215,0.007530468009775142,2511,full
real,dy_1d_slope,0.0003739976402978791,7.856549938966289e-05,4.760329192880905,1.932774478866235e-06,2511,full
real,ret_1d_vix,-0.07210712308528354,0.004937911163385299,-14.602758271545905,2.697087043175205e-48,2511,full
