dimension,regime,term,coefficient,t_stat,p_value,adj_r_squared,nobs
volatility,low VIX (<11.4),dy_1d_real10,-0.000868517053292317,-8.527077184590832,1.5009172849817873e-17,0.45423664498630534,837
volatility,low VIX (<11.4),dy_1d_breakeven10,0.00011132883141437845,0.8864696771076669,0.37536448709724446,0.45423664498630534,837
volatility,low VIX (<11.4),dy_1d_slope,0.0005590251657244591,5.192441145822315,2.075544922938633e-07,0.45423664498630534,837
volatility,low VIX (<11.4),ret_1d_vix,-0.06885342402532506,-15.769223345630675,5.066901425159438e-56,0.45423664498630534,837
volatility,mid VIX (11.4-18.2),dy_1d_real10,-0.0006523854356560624,-6.592999811539894,4.3102712401234735e-11,0.43223818046428364,837
volatility,mid VIX (11.4-18.2),dy_1d_breakeven10,2.2536223295983227e-07,0.0018612133705239488,0.9985149674446865,0.43223818046428364,837
volatility,mid VIX (11.4-18.2),dy_1d_slope,0.0005022811725251413,3.770725481200975,0.0001627736543008042,0.43223818046428364,837
volatility,mid VIX (11.4-18.2),ret_1d_vix,-0.06283562097509256,-7.627527697642777,2.3929840579650344e-14,0.43223818046428364,837
volatility,high VIX (>18.2),dy_1d_real10,-0.00018536434171174845,-2.0888716589482255,0.036719277651986224,0.4766572964680773,837
volatility,high VIX (>18.2),dy_1d_breakeven10,0.0007336753604542231,3.7724684705758085,0.00016164039774390458,0.4766572964680773,837
volatility,high VIX (>18.2),dy_1d_slope,6.643341824411895e-05,0.4844592542135943,0.6280599747306783,0.4766572964680773,837
volatility,high VIX (>18.2),ret_1d_vix,-0.08355940882069804,-10.004791772185147,1.451968227816258e-23,0.4766572964680773,837
curve,0-100bp,dy_1d_real10,-0.0004810481487024336,-6.29371148752778,3.09963705748642e-10,0.42503593452905875,1920
curve,0-100bp,dy_1d_breakeven10,0.00029664355181816275,2.569217741253649,0.010192838972460986,0.42503593452905875,1920
curve,0-100bp,dy_1d_slope,0.0002898369356144414,3.250790653379917,0.001150845656556814,0.42503593452905875,1920
curve,0-100bp,ret_1d_vix,-0.07265483184670873,-12.816363619066891,1.3278328370752554e-37,0.42503593452905875,1920
curve,>100bp,dy_1d_real10,-0.00013600262517617686,-0.8096585895934781,0.4181364243375607,0.4783262232147173,233
curve,>100bp,dy_1d_breakeven10,0.0002783555803700206,1.3351043759484307,0.18184218746243608,0.4783262232147173,233
curve,>100bp,dy_1d_slope,0.00029519510266835444,1.4586125014348026,0.14467179081209874,0.4783262232147173,233
curve,>100bp,ret_1d_vix,-0.09086194241543935,-11.697206443090574,1.317185854318992e-31,0.4783262232147173,233
curve,inverted,dy_1d_real10,-0.0009583338747839685,-8.605347031650311,7.608620735210265e-18,0.5254767440072324,358
curve,inverted,dy_1d_breakeven10,0.000126634751029935,0.6570842291541328,0.5111267589021701,0.5254767440072324,358
curve,inverted,dy_1d_slope,0.000726296794745544,4.193939257204743,2.7415142328308164e-05,0.5254767440072324,358
curve,inverted,ret_1d_vix,-0.06485831220784304,-5.51264344465526,3.5348388282396455e-08,0.5254767440072324,358
real_yield,middle 50% (-0.03-1.48%),dy_1d_real10,-0.0002933264450665239,-3.219898228291499,0.0012823611322945688,0.44738839919287043,1255
real_yield,middle 50% (-0.03-1.48%),dy_1d_breakeven10,0.0005383450875351403,3.3509383328731746,0.0008053823521180295,0.44738839919287043,1255
real_yield,middle 50% (-0.03-1.48%),dy_1d_slope,8.788668529393865e-05,0.8700397461254085,0.3842786837681039,0.44738839919287043,1255
real_yield,middle 50% (-0.03-1.48%),ret_1d_vix,-0.07584829830676323,-12.984136643667181,1.5052597870132847e-38,0.44738839919287043,1255
real_yield,bottom quartile (<-0.03%),dy_1d_real10,-0.0002174310105858739,-1.664099168736224,0.09609261316889989,0.42479964148996807,628
real_yield,bottom quartile (<-0.03%),dy_1d_breakeven10,0.0003134428707673928,1.7404835409643222,0.0817741476759198,0.42479964148996807,628
real_yield,bottom quartile (<-0.03%),dy_1d_slope,0.00030954434642259995,1.927178790088591,0.05395735227700107,0.42479964148996807,628
real_yield,bottom quartile (<-0.03%),ret_1d_vix,-0.07305144507473468,-6.7391343308685325,1.5933304622038878e-11,0.42479964148996807,628
real_yield,top quartile (>1.48%),dy_1d_real10,-0.0011202266866195043,-15.360666996035352,3.004673629963265e-53,0.5307696593809248,628
real_yield,top quartile (>1.48%),dy_1d_breakeven10,-4.736489897842286e-05,-0.323318990200835,0.7464536735830072,0.5307696593809248,628
real_yield,top quartile (>1.48%),dy_1d_slope,0.000684420466319493,5.021375170745764,5.130284073423562e-07,0.5307696593809248,628
real_yield,top quartile (>1.48%),ret_1d_vix,-0.06560152179027963,-6.010860856301744,1.8454074756400188e-09,0.5307696593809248,628
usd,USD strengthening,dy_1d_real10,-0.0005146673762890284,-5.057433660714004,4.249361782373622e-07,0.41332810295972877,1133
usd,USD strengthening,dy_1d_breakeven10,0.00027928493988896356,1.6541453944479652,0.09809797461094903,0.41332810295972877,1133
usd,USD strengthening,dy_1d_slope,0.0003855177690369549,2.934639787164868,0.0033393510046970574,0.41332810295972877,1133
usd,USD strengthening,ret_1d_vix,-0.06240700097399789,-8.636747325338415,5.7836109214771266e-18,0.41332810295972877,1133
usd,USD weakening,dy_1d_real10,-0.0005978027851608466,-7.835304263766529,4.677087268248216e-15,0.46941161678418497,1316
usd,USD weakening,dy_1d_breakeven10,0.0002446375873427657,2.519101211860527,0.011765483165527838,0.46941161678418497,1316
usd,USD weakening,dy_1d_slope,0.00037292046504398927,4.2429958634355565,2.2055550269045026e-05,0.46941161678418497,1316
usd,USD weakening,ret_1d_vix,-0.08304408674425388,-15.352119246065994,3.428022495761733e-53,0.46941161678418497,1316
