spec,term,coefficient,std_error_hac,t_stat,p_value,nobs,sample
naive,const,0.00032548810779058155,0.00019628636815977615,1.658230833053245,0.09727088363457993,1605,train
naive,dy_1d_dgs2,-6.240267588553854e-05,4.88527961787376e-05,-1.2773613951845464,0.20147468744055042,1605,train
naive,dy_1d_dgs10,0.00016333651433119245,3.362452840430647e-05,4.857659633681973,1.1878136504967347e-06,1605,train
naive,d_1d_curve_2s10s,0.00022573919021674112,5.642037969698786e-05,4.001022173709206,6.306944679987252e-05,1605,train
naive,ret_1d_vix,-0.07982517193951118,0.005852145993332853,-13.640324768119802,2.3053163655704163e-42,1605,train
slope,const,0.0003254881077905816,0.000196286368159776,1.6582308330532467,0.09727088363457963,1605,train
slope,dy_1d_level,0.0001009338384456541,6.205763421718751e-05,1.6264532110974257,0.10385327907312071,1605,train
slope,dy_1d_slope,0.000338608785325106,8.463056954548183e-05,4.001022173709137,6.306944679989111e-05,1605,train
slope,ret_1d_vix,-0.0798251719395112,0.005852145993332859,-13.640324768119793,2.3053163655707454e-42,1605,train
real,const,0.00027477465205729887,0.00018856833204326977,1.4571622344002482,0.14507160261251847,1605,train
real,dy_1d_real10,1.492324503500761e-06,6.281845651841086e-05,0.02375614725687171,0.9810471195870089,1605,train
real,dy_1d_breakeven10,0.0006326749766763818,0.00012920466398099197,4.896688379371956,9.746521241195137e-07,1605,train
real,dy_1d_slope,4.944563888219835e-05,9.164459946460542e-05,0.5395368540106396,0.5895164745132093,1605,train
real,ret_1d_vix,-0.07548077017397452,0.005882790216027121,-12.830777131629494,1.1025269372084538e-37,1605,train
naive,const,0.0010163870187120515,0.0003164491498858143,3.2118494206061188,0.0013188348114731186,502,validation
naive,dy_1d_dgs2,-0.0007866692559225176,7.272862435946461e-05,-10.816501244879433,2.875457613806669e-27,502,validation
naive,dy_1d_dgs10,-0.00023631968559316316,3.7183460398781e-05,-6.355505460188706,2.0774236968426752e-10,502,validation
naive,d_1d_curve_2s10s,0.0005503495703292929,7.54169012117909e-05,7.297430171305549,2.933158659681457e-13,502,validation
naive,ret_1d_vix,-0.0752719510734033,0.009727772044579794,-7.737840764406481,1.0111937976882297e-14,502,validation
slope,const,0.0010163870187120526,0.00031644914988581595,3.2118494206061055,0.001318834811473179,502,validation
slope,dy_1d_level,-0.0010229889415156828,8.750094895775303e-05,-11.691175395247422,1.4141578667947504e-31,502,validation
slope,dy_1d_slope,0.0008255243554939749,0.00011312535181768414,7.297430171306005,2.933158659671494e-13,502,validation
slope,ret_1d_vix,-0.07527195107340336,0.00972777204457981,-7.7378407644064735,1.0111937976882881e-14,502,validation
real,const,0.0011256689118789168,0.0002878590636558608,3.910486255262292,9.211050193797396e-05,502,validation
real,dy_1d_real10,-0.0011280417921421936,7.982478832266248e-05,-14.131472389034064,2.4300969202402993e-45,502,validation
real,dy_1d_breakeven10,-0.0001685212506564995,0.000127562731111621,-1.3210853137742766,0.18647291935212718,502,validation
real,dy_1d_slope,0.0008138497497355635,0.00013451367803584538,6.050312218201986,1.4456538356528931e-09,502,validation
real,ret_1d_vix,-0.0669220652892629,0.00970813234107374,-6.893402658524242,5.4473399072199244e-12,502,validation
naive,const,0.000501925296976095,0.0005106900172084187,0.9828374944937555,0.3256874249988162,404,test
naive,dy_1d_dgs2,-0.0006361644997367817,7.768930512146022e-05,-8.188572400566537,2.643428963355024e-16,404,test
naive,dy_1d_dgs10,-0.0003012489748978155,5.022903584162688e-05,-5.9975066184359855,2.003702022154517e-09,404,test
naive,d_1d_curve_2s10s,0.00033491552483917806,8.883346974621418e-05,3.7701502124817226,0.0001631493203567184,404,test
naive,ret_1d_vix,-0.08331104880454426,0.017932351468992004,-4.64585188108781,3.3867594653261587e-06,404,test
slope,const,0.000501925296976236,0.0005106900172084122,0.9828374944940439,0.3256874249986742,404,test
slope,dy_1d_level,-0.0009374134746346717,9.605093959206156e-05,-9.7595450769765,1.6790670154261783e-22,404,test
slope,dy_1d_slope,0.0005023732872588337,0.00013325020461931724,3.770150212482336,0.00016314932035631737,404,test
slope,ret_1d_vix,-0.08331104880454428,0.017932351468992237,-4.645851881087751,3.386759465327138e-06,404,test
real,const,0.0005472996085693941,0.0004549292601665816,1.203043322315626,0.22895955634640153,404,test
real,dy_1d_real10,-0.0010881441610705374,9.848044751028506e-05,-11.049342164665674,2.208270702936075e-28,404,test
real,dy_1d_breakeven10,0.00011496379246162336,0.0001831437303288931,0.6277244230810912,0.530184483164202,404,test
real,dy_1d_slope,0.00038545714729071605,0.0001648260030085862,2.3385700087057053,0.01935769849225136,404,test
real,ret_1d_vix,-0.07651985620081342,0.017326934871502404,-4.416237307307339,1.0043382250052629e-05,404,test
