market,horizon_days,top_decile_pct,bottom_decile_pct,difference_pct,std_error,t_stat,nobs_top,nobs_bottom,significant_5pct
6e,5,0.05740067950769741,0.04596509024852115,0.01143558925917626,0.12815231338275918,0.0892343568158695,227,224,False
6e,10,0.1882094095353321,0.06709527352073101,0.1211141360146011,0.26452679295162784,0.45785205597963147,227,224,False
6e,21,0.2558577818444474,0.30480068481545347,-0.048942902971006064,0.5735282909524667,-0.08533651040949676,227,224,False
cl,5,-0.05788009970915732,-1.4465876801865085,1.3887075804773512,1.3212143702087713,1.0510842235676827,228,227,False
cl,10,-0.10432406155164048,-2.5770595115325925,2.472735449980952,3.127094370458982,0.7907453875841982,228,227,False
cl,21,0.7220011495698538,-5.793853407300602,6.515854556870456,7.383440904453646,0.8824956603824284,228,227,False
es,5,0.2101262938818003,-0.31689396633112954,0.5270202602129298,0.4503360316491674,1.1702822407590583,229,227,False
es,10,0.32881215068432457,-0.2869637531398692,0.6157759038241938,0.872587751201019,0.7056893739072632,229,227,False
es,21,1.0038949688810388,0.8961965747666627,0.1076983941143761,1.727889332025176,0.06232945138225258,229,227,False
gc,5,0.45972677877672874,0.28025281488845855,0.1794739638882702,0.3247059293146161,0.5527277073969695,228,222,False
gc,10,0.6486823373845844,0.4307329553884224,0.21794938199616198,0.5581736224145181,0.39046879545000357,228,217,False
gc,21,1.102756335595063,1.1345709865815348,-0.03181465098647185,0.9949326684592875,-0.031976687463422755,228,213,False
zn,5,-0.21817808081710807,-0.0636033829837116,-0.15457469783339647,0.22266718382566303,-0.6941961324414132,224,224,False
zn,10,-0.1807647605355578,-0.07727809031633132,-0.10348667021922647,0.4156629867418439,-0.24896772991601251,219,224,False
zn,21,0.09925779544457253,-0.14433349097993597,0.2435912864245085,0.7822622176554259,0.3113933933235244,215,224,False
