signal,cost_bps,dimension,regime,days,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,trades
h1_equity_forecast,2.0,volatility,low VIX (<11.4),837,0.1290412339157899,0.07734879422961326,1.6683031093248253,-0.06383304073505647,0.5383522727272727,182
h1_equity_forecast,2.0,volatility,mid VIX (11.4-18.2),837,-0.009264064304379456,0.09966009840551009,-0.0929566040230526,-0.22828194824444292,0.5071315372424723,250
h1_equity_forecast,2.0,volatility,high VIX (>18.2),837,-0.0314061040499833,0.10622821344118807,-0.29564748415326497,-0.26839888671922535,0.48353293413173654,308
h1_equity_forecast,2.0,curve,0-100bp,1920,0.05166032057999278,0.09221170635607313,0.5602360331616442,-0.22418647215796644,0.5220040622884224,526
h1_equity_forecast,2.0,curve,>100bp,233,0.10867278206926981,0.08641354913638129,1.257589615926527,-0.04236348483358378,0.5029585798816568,63
h1_equity_forecast,2.0,curve,inverted,358,-0.14117874821455736,0.11459750085596025,-1.2319531155570973,-0.224509798480119,0.47058823529411764,151
h1_equity_forecast,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.008266314126721304,0.08801966020710793,-0.09391440625050002,-0.2658897670299116,0.5116279069767442,320
h1_equity_forecast,2.0,real_yield,bottom quartile (<-0.03%),628,0.10569868822912137,0.09944274342921655,1.0629100182092,-0.08363825309508155,0.5062611806797853,247
h1_equity_forecast,2.0,real_yield,top quartile (>1.48%),628,0.02860195843321898,0.10453603251605997,0.27360860886723276,-0.1545952077357603,0.5135566188197768,173
h1_equity_forecast,2.0,usd,USD strengthening,1133,0.008900840075577673,0.10461403673695303,0.08508265576213646,-0.2725342193423158,0.49575371549893843,403
h1_equity_forecast,2.0,usd,USD weakening,1316,0.04854250005264817,0.08891484103537108,0.5459437309609265,-0.1437502728884084,0.5235404896421846,337
h2_rv_gold_real10_hedged,2.0,volatility,low VIX (<11.4),781,0.004297603204380569,0.06149424186197356,0.06988627023041803,-0.1343699026225004,0.46846846846846846,27
h2_rv_gold_real10_hedged,2.0,volatility,mid VIX (11.4-18.2),769,-0.012729273688994581,0.09246478284883412,-0.13766618270012065,-0.2251676531643613,0.4845814977973568,35
h2_rv_gold_real10_hedged,2.0,volatility,high VIX (>18.2),836,-0.07062764158309257,0.09461668689238022,-0.7464607343884965,-0.29826192077335295,0.47058823529411764,32
h2_rv_gold_real10_hedged,2.0,curve,0-100bp,1850,-0.035237128384068436,0.08377891274842017,-0.4205966302031403,-0.5165843365468981,0.47643979057591623,75
h2_rv_gold_real10_hedged,2.0,curve,>100bp,178,0.006812707898135532,0.07566920101738607,0.09003277167642111,-0.06129243506022361,0.4811320754716981,7
h2_rv_gold_real10_hedged,2.0,curve,inverted,358,-0.004192922410677361,0.09178410270853407,-0.045682447035433116,-0.13786640057504132,0.4931506849315068,12
h2_rv_gold_real10_hedged,2.0,real_yield,middle 50% (-0.03-1.48%),1130,-0.07771819907471736,0.09082258713760497,-0.8557144376097413,-0.5178850240455165,0.4707692307692308,42
h2_rv_gold_real10_hedged,2.0,real_yield,bottom quartile (<-0.03%),628,-0.023384154341117257,0.08252977613065818,-0.28334203044603323,-0.1247198230022856,0.4732620320855615,25
h2_rv_gold_real10_hedged,2.0,real_yield,top quartile (>1.48%),628,0.05896452572129184,0.07350360817503124,0.8021990645803666,-0.09559304659436972,0.5,27
h2_rv_gold_real10_hedged,2.0,usd,USD strengthening,1098,-0.02098964216841405,0.0833999150629009,-0.2516746228408445,-0.21314821567219536,0.47339449541284406,46
h2_rv_gold_real10_hedged,2.0,usd,USD weakening,1288,-0.03294290731891489,0.08532758248371726,-0.3860757138549104,-0.3721371447405965,0.4816326530612245,48
h2_rv_gold_real10_single,2.0,volatility,low VIX (<11.4),837,0.021413171304330167,0.0568160963717487,0.37688564811322867,-0.0906822660856984,0.5075075075075075,27
h2_rv_gold_real10_single,2.0,volatility,mid VIX (11.4-18.2),837,-0.05266710109587661,0.0822020176740667,-0.6407032647872848,-0.20339347256392373,0.45594713656387664,35
h2_rv_gold_real10_single,2.0,volatility,high VIX (>18.2),837,0.00866644498641539,0.09108048090164947,0.09515150667433993,-0.2201507796024757,0.4787018255578093,32
h2_rv_gold_real10_single,2.0,curve,0-100bp,1920,-0.039498061998166974,0.07775496869936804,-0.5079811960426909,-0.46387157956893577,0.4712041884816754,75
h2_rv_gold_real10_single,2.0,curve,>100bp,233,0.151683993202313,0.0630752586098271,2.4048096915559958,-0.023202692729178596,0.5377358490566038,7
h2_rv_gold_real10_single,2.0,curve,inverted,358,0.06030218949286861,0.08745580181011067,0.6895161698225623,-0.09734996174489272,0.502283105022831,12
h2_rv_gold_real10_single,2.0,real_yield,middle 50% (-0.03-1.48%),1255,-0.034516386366020155,0.08036027078668957,-0.42952053331977147,-0.31927401340013273,0.4846153846153846,42
h2_rv_gold_real10_single,2.0,real_yield,bottom quartile (<-0.03%),628,0.03706460385327521,0.07944558405361346,0.46654076868844396,-0.1310223696892678,0.4919786096256685,25
h2_rv_gold_real10_single,2.0,real_yield,top quartile (>1.48%),628,0.0018085491840824522,0.07176324604580525,0.02520160783875476,-0.13266657374291943,0.453125,27
h2_rv_gold_real10_single,2.0,usd,USD strengthening,1133,-0.016054901880948626,0.07615665759873007,-0.21081416106182088,-0.14550127923885098,0.45688073394495415,46
