dimension,regime,days,share
volatility,low VIX (<11.4),838,0.3335987261146497
volatility,mid VIX (11.4-18.2),837,0.33320063694267515
volatility,high VIX (>18.2),837,0.33320063694267515
curve,0-100bp,1921,0.7647292993630573
curve,inverted,358,0.14251592356687898
curve,>100bp,233,0.09275477707006369
real_yield,middle 50% (-0.03-1.48%),1256,0.5
real_yield,bottom quartile (<-0.03%),628,0.25
real_yield,top quartile (>1.48%),628,0.25
usd,USD weakening,1316,0.5373621886484279
usd,USD strengthening,1133,0.46263781135157206
